ProductId,BarCode,ProductName,SupplierId,Inventory,Price
111121,01321300132131,Produto1,2,100,19.99
12112,01321300123132131,Produto2,2,100,19.99
13112,013213001231232131,Produto3,2,100,19.99
14112,0132130013332232131,Produto4,2,100,19.99
11152,01321301111110132131,Produto5,2,100,19.99
17112,0132130012312132131,Produto6,2,100,19.99
18112,0132130012312232131,Produto7,2,100,19.99
19112,0132130012312432131,Produto8,2,100,19.99
20112,0132130012312532131,Produto9,2,100,19.99
21112,0132130012312632131,Produto10,2,100,19.99
22112,0132130012312732131,Produto11,2,100,19.99
23112,0132130012312832131,Produto12,2,100,19.99
24112,0132130012312932131,Produto13,2,100,19.99
25112,0132130012312032131,Produto14,2,100,19.99
26112,0132130012312134131,Produto15,2,100,19.99
27112,0132130012312332131,Produto16,2,100,19.99
28112,0132130012312432131,Produto17,2,100,19.99
29112,0132130012312532131,Produto18,2,100,19.99
30112,0132130012312632131,Produto19,2,100,19.99
31112,0132130012312732131,Produto20,2,100,19.99
